Category;ID;QDanish;QEnglish;QDutch;Points;ADanish;AEnglish;ADutch;Assessment
Safeline;21;"CFO´en i Safeline stiller ofte spørgsmål til salgsafdelingen om kunder og marked. Det foregår ukoordineret og lidt tilfældigt. 

Salgschefen Helle har meget viden, som kunne bruges til bl.a. budgetplanlægning og markedsføring. Det bliver tydeligt for Helle, at hendes indsigt kan skabe værdi for virksomheden og styrke salgsafdelingens interne position.   Hvordan kan Safeline blive bedre til at koordinere vidensdeling om markedet?";"The CFO of Safeline often asks questions to the sales department about customers and the market. It takes place uncoordinated and somewhat haphazardly. 

Sales Manager Helle has a lot of knowledge that could be used for budget planning and marketing, among other things. It becomes clear to Helle that her insight can create value for the company and strengthen the sales department's internal position. How can Safeline become better at coordinating knowledge sharing about the market?";"De CFO van Safeline stelt vaak vragen aan de verkoopafdeling over klanten en de markt. Het gebeurt ongecoördineerd en enigszins lukraak. 

Sales Manager Helle heeft veel kennis die gebruikt kan worden voor onder andere budgetplanning en marketing. Het wordt Helle duidelijk dat haar inzicht waarde kan creëren voor het bedrijf en de interne positie van de verkoopafdeling kan versterken. Hoe kan Safeline beter worden in het coördineren van kennisdeling over de markt?";NVT;"5 point pr. svar. Max 6 svar. 
5 ekstra point, hvis CFO’ens viden inddrages. ";"5 points per answer. Max 6 responses. 
5 extra points if the CFO's knowledge is involved.";"5 punten per antwoord. Max 6 reacties. 
5 extra punten als de kennis van de CFO in het geding is.";Moderator
Safeline;22;"Safeline synes, at de kender deres kunder godt og ved, hvad de primære kundebehov er. Men sælgerne oplever alligevel ofte, at en kunde ikke kan kende forskel på Safeline og konkurrenterne. 

Sælgerne snakker nu med salgschefen om, hvorvidt kunderne mon reelt oplever dem som kundeorienteret, og hvordan Safeline kan differentiere sig mere.  Hvordan gør Safeline sig mere lækker, og hvilke parametre kan de differentiere sig på?";"Safeline thinks they know their customers well and know what the primary customer needs are. However, salespeople often find that a customer cannot tell the difference between Safeline and competitors. 

The salespeople are now talking to the sales manager about whether customers really experience them as customer-oriented, and how Safeline can differentiate itself more. How does Safeline make itself more attractive and what parameters can they differentiate themselves on?";"Safeline denkt dat ze hun klanten goed kennen en weten wat de primaire behoeften van de klant zijn. Verkopers merken echter vaak dat een klant het verschil niet kan zien tussen Safeline en concurrenten. 

De verkopers zijn nu in gesprek met de salesmanager over de vraag of klanten hen echt als klantgericht ervaren, en hoe Safeline zich meer kan onderscheiden. Hoe maakt Safeline zichzelf aantrekkelijker en op welke parameters kunnen ze zich onderscheiden?";NVT;"

5 point pr. svar.
5 ekstra point, hvis ’kort holdbarhed’ hos konkurrenterne nævnes.";"5 points per answer.
5 extra points if 'short shelf life' of competitors is mentioned.";"5 punten per antwoord.
5 extra punten als er sprake is van 'korte houdbaarheid' van concurrenten.";Moderator
Safeline;23;"

Salgschefen Helle hører ofte fra kunder, at sælgerne kontakter de samme kunder og ikke har styr på, hvad der købes. For at styrke sælgernes overblik og kundens mødeinteresse beslutter Helle sig for, at sælgerne skal medbringe indsigter til kundemøder. Det oplagte er at trække data ud af CRM-systemet, men Helle overvejer, om der er andre steder, de kan trække data ud.
Hvordan sikrer salgschefen, at der skabes gode indsigter om markedet, så sælgerne kan tage det med på kundemøder?";"Sales manager Helle often hears from customers that the salespeople contact the same customers and do not have control over what is being bought. To strengthen the salespeople's overview and the customer's interest in meetings, Helle decides that the salespeople should bring insights to customer meetings. The obvious thing is to extract data from the CRM system, but Helle is considering whether there are other places they can extract data.
How does the sales manager ensure that good insights are created about the market so that the salespeople can bring it to customer meetings?";"Salesmanager Helle hoort vaak van klanten dat de verkopers contact opnemen met dezelfde klanten en geen controle hebben over wat er wordt gekocht. Om het overzicht van de verkopers en de interesse van de klant in vergaderingen te versterken, besluit Helle dat de verkopers inzichten moeten inbrengen in klantvergaderingen. Het ligt voor de hand om data uit het CRM-systeem te halen, maar Helle overweegt of er andere plekken zijn waar ze data kunnen extraheren.
Hoe zorgt de salesmanager ervoor dat er goede inzichten ontstaan over de markt, zodat de verkopers deze mee kunnen nemen naar klantbijeenkomsten?";NVT;"

5 point pr. svar. Max 6 svar.";"5 points per answer. Maximum 6 answers.
";"5 punten per antwoord. Maximaal 6 antwoorden.
";Moderator
Safeline;24;"Safelines marketingafdeling har været i kontakt med et par kunder for at lave nogle portrætter til hjemmesiden. Via kundedialogerne har marketingsfolkene fået værdifuld information om udstyr, der snart skal opdateres og udskiftes. Ofte har kundeservice lignende dialoger med kunderne. Indsigterne kommer dog sjældent videre.
Hvilke fordele får Safeline, hvis de kobler viden mellem marketing, kundeservice og salg? ";"Safeline's marketing department has been in contact with a few customers to make some portraits for the website. Through the customer dialogues, the marketers have gained valuable information about equipment that will soon be updated and replaced. Customer service often has similar dialogues with customers. However, the insights rarely get any further.
What benefits does Safeline get if they link knowledge between marketing, customer service and sales?";"De marketingafdeling van Safeline heeft contact gehad met een aantal klanten om enkele portretten voor de website te maken. Door de klantdialogen hebben de marketeers waardevolle informatie verkregen over apparatuur die binnenkort zal worden bijgewerkt en vervangen. Klantenservice heeft vaak vergelijkbare dialogen met klanten. De inzichten komen echter zelden verder.
Welke voordelen krijgt Safeline als ze kennis koppelen tussen marketing, klantenservice en verkoop?";NVT;10 point pr. fordel. Max 30 point.;10 points per advantage. Maximum 30 points.;"10 punten per voordeel. Maximaal 30 punten.
";Moderator
Safeline;25;"Safelines ledelse er blevet opmærksom på, at salgsorganisation mangler forretningsorienteret forståelse ude hos kunderne. Det er et problem, for sælgernes forretningsforståelse er afgørende for deres evne til at rådgive kunden og sikre loyalitet over for Safeline som leverandør. Ledelsen vil nu producere et overblik over vigtige pains og gains.
Formuler 3 pains og 3 gains, der kan omsættes til indsigter, som sælgerne kan tage med ud til Safelines største kunder?";"Safeline's management has become aware that the sales organization lacks business-oriented understanding among customers. This is a problem, because the salespeople's business understanding is crucial for their ability to advise the customer and ensure loyalty to Safeline as a supplier. Management will now produce an overview of key pains and gains.
Formulate 3 pains and 3 gains that can be translated into insights that the salespeople can take out to Safeline's largest customers?";"Het management van Safeline is zich ervan bewust geworden dat de verkooporganisatie een gebrek heeft aan bedrijfsgericht begrip bij klanten. Dit is een probleem, omdat het zakelijk inzicht van de verkopers van cruciaal belang is voor hun vermogen om de klant te adviseren en loyaliteit aan Safeline als leverancier te garanderen. Het management zal nu een overzicht maken van de belangrijkste pijnpunten en winsten.
3 pijnpunten en 3 voordelen formuleren die kunnen worden vertaald in inzichten die de verkopers kunnen meenemen naar de grootste klanten van Safeline?";NVT;20 point ialt for 3 pains og 3 gains, der kan bruges af sælgerne.;"20 points in total for 3 pains and 3 gains that can be used by the sellers.
";"20 punten in totaal voor 3 pijnen en 3 winsten die door de verkopers kunnen worden gebruikt.
";Moderator
Domino House;26;"Flere og flere sælgere i entreprenørfirmaet Domino House giver udtryk for, at de mangler en mere kommerciel forståelse for kundernes forretning. 

Nogle har spurgt efter kurser og andre efterlyser mere sparring med salgschefen.  Hvilke argumenter bør salgschefen bruge over for ledelsen for at få ressourcer til afdelingen? ";More and more salespeople in the construction company Domino House express that they lack a more commercial understanding of the customers' business. Some have asked for courses and others are looking for more sparring with the sales manager. What arguments should the sales manager use with management to get resources for the department?;Steeds meer verkopers in het bouwbedrijf Domino House geven aan dat ze een meer commercieel begrip missen van de business van de klant. Sommigen hebben om cursussen gevraagd en anderen zijn op zoek naar meer sparring met de salesmanager. Hvilke argumenter bør salgschefen bruge over for ledelsen for at få ressourcer til afdelingen? ;NVT;10 point i alt for to gode forslag. ;10 points in total for two good suggestions.;10 punten in totaal voor twee goede suggesties.;Moderator
Domino House;27;"Sælgerne i Domino House ender ofte med at tale mest om produktpriser med kunden, mens de overser nogle af de services, som betyder mindst lige så meget for kunderne som prisen.

Flere af de services, som kunderne værdsætter meget højt, tager Domino House ikke noget for, så sælgernes fokus er et andet sted.   Hvordan får Domino House et klart billede af, hvad kunderne oplever som værdifuldt, og hvad de gode services er værd?  ";"The salespeople in Domino House often end up talking mostly about product prices with the customer, while overlooking some of the services that mean at least as much to the customers as the price.

Several of the services that customers value very highly, Domino House does not charge anything for, so the sellers' focus is elsewhere. How does Domino House get a clear picture of what customers experience as valuable and what the good services are worth?";"De verkopers in Domino House praten vaak vooral over productprijzen met de klant, terwijl ze enkele van de diensten over het hoofd zien die minstens zoveel voor de klanten betekenen als de prijs.

Voor een aantal van de diensten die klanten zeer waarderen, rekent Domino House niets aan, dus de focus van de verkopers ligt elders. Hoe krijgt Domino House een duidelijk beeld van wat klanten als waardevol ervaren en wat de goede dienstverlening waard is?";NVT;10 point pr. forslag. Max 30 point.;10 points per proposal. Max 30 points.;10 punten per voorstel. Max 30 punten.;Moderator
Domino House;28;"Salgsorganisationen i Domino House er lidt lukket om sig selv. De deler ikke altid information om dialoger med kunderne i forhold til produktionen i byggeriet. Ledelsen i Domino House ser derfor et potentiale i at dele salgsorganisationens viden med resten af afdelingen. 
Hvad kan salgsorganisationen gøre for at sikre, at der deles information med produktionsenheden, logistik m.fl. i Domino House?";"
The sales organization at Domino House is a bit closed about itself. They do not always share information about dialogues with customers in relation to production in the construction industry. The management of Domino House therefore sees a potential in sharing the sales organization's knowledge with the rest of the department.
What can the sales organization do to ensure that information is shared with the production unit, logistics, etc. in Domino House?";"De verkooporganisatie bij Domino House is een beetje gesloten over zichzelf. Ze delen niet altijd informatie over dialogen met klanten in relatie tot productie in de bouwsector. De directie van Domino House ziet dan ook potentie in het delen van de kennis van de verkooporganisatie met de rest van de afdeling.
Wat kan de verkooporganisatie doen om ervoor te zorgen dat informatie wordt gedeeld met de productie-eenheid, logistiek, enz. in Domino House?";NVT;"

10 point pr. svar. Max 30 point.";"10 points per answer. Maximum 30 points.
";"10 punten per antwoord. Maximaal 30 punten.
";Moderator
Domino House;29;"En større kunde ringer til Domino House for at høre, om firmaet kan ændre leveringssted og tider på nogle ordrer. Medarbejderen, der har taget telefonen i Domino House, ved, at det skaber en del problemer i forhold til Domino Houses systemer og processer. Medarbejderen lover dog at undersøge sagen og vende tilbage med et svar. 
Hvad bør man sikre sig i Domino House, så kunden får svar hurtigt og klart?";"A larger customer calls Domino House to find out if the company can change the delivery location and times on some orders. The employee who has answered the phone at Domino House knows that it creates a number of problems in relation to Domino House's systems and processes. However, the employee promises to investigate the matter and return with an answer.
What should you make sure of at Domino House so that the customer gets an answer quickly and clearly?";"Een grotere klant belt Domino House om te vragen of het bedrijf de bezorglocatie en -tijden van sommige bestellingen kan wijzigen. De medewerker die de telefoon bij Domino House heeft opgenomen, weet dat dit een aantal problemen oplevert met betrekking tot de systemen en processen van Domino House. De werknemer belooft echter de zaak te onderzoeken en terug te komen met een antwoord.
Waar moet je bij Domino House op letten zodat de klant snel en duidelijk antwoord krijgt?";NVT;10 point for et godt svar.;"10 points for a good answer.
";"10 punten voor een goed antwoord.
";Moderator
Domino House;30;"Salgsafdelingen i Domino House opfatter sig selv som satellitter, der kører helt for sig selv. Sælgerne føler, at de er de sidste, der får info om vigtige nyheder, og de giver sjældent viden om kunderne fra sig til de andre afdelinger. Domino Houses salgsansvarlige beslutter nu, at salgsafdelingen skal blive bedre til at dele viden med de andre funktioner. 
List hvilken viden afdelingerne bør dele med hinanden og hvorfor. ";"The sales department at Domino House sees itself as satellites running all by themselves. The salespeople feel that they are the last to get information about important news, and they rarely pass on knowledge about the customers to the other departments. Domino House's sales manager now decides that the sales department needs to get better at sharing knowledge with the other functions.
List what knowledge the departments should share with each other and why.";"De verkoopafdeling van Domino House ziet zichzelf als satellieten die helemaal op zichzelf draaien. De verkopers hebben het gevoel dat ze de laatsten zijn die informatie krijgen over belangrijk nieuws, en ze geven zelden kennis over de klanten door aan de andere afdelingen. De salesmanager van Domino House besluit nu dat de salesafdeling beter moet worden in het delen van kennis met de andere functies.
Maak een lijst van welke kennis de afdelingen met elkaar moeten delen en waarom.";NVT;20 point for et svar;"20 points for an answer
";"20 punten voor een antwoord
";Moderator
Sales management;31;"""En vigtig kunde ringer til en Key Account Manager og siger, at de ikke gider 
så mange møder længere. 
Drøft hvordan virksomheden bør reagere""";"""An important customer calls a Key Account Manager and says they don't bother 
so many meetings longer. 
Discuss how the company should respond""";Een belangrijke klant belt een Key Account Manager en zegt dat ze niet meer zoveel lange meetings willen. Bspreek hoe het bedrijf moet reageren;NVT;5 points;5 points;5 punten;Moderator
Sales management;32;"""Sælgerne får ikke registreret kundedialoger i 
CRM-systemet. Hvad skal salgschefen gøre?  """;"""The salespeople do not register customer dialogues in 
CRM system. What should the sales manager do?""";"""De verkopers registreren geen klantdialogen in 
CRM-systeem. Wat moet de salesmanager doen?""";NVT;10 points;10 points;10 punten;Moderator
Sales management;33;"""En virksomheds e-handel vokser. Det bekymrer 
sælgerne, som kan miste deres provision. Hvordan sikrer virksomheden, at sælgerne bakker op om webshoppen?""";"""A company's e-commerce is growing. This is worrying 
the sellers, who may lose their commission. How does the company ensure that the salespeople support the webshop?""";"""De e-commerce van een bedrijf groeit. Dit is zorgwekkend voor 
de verkopers, die hun commissie kunnen verliezen. Hoe zorgt het bedrijf ervoor dat de verkopers de webshop ondersteunen?""";NVT;5 points;5 points;5 punten;Moderator
Megatrends;34;"""Et salgsteam er nysgerrig 
på bæredygtighed, men 
ved ikke, hvordan de kan 
bruge det. Drøft ud fra egne erfaringer, 
hvilke muligheder og 
udfordringer I ser?""";"""A sales team is curious 
on sustainability, but 
don't know how they can 
use it. Discuss from your own experience, 
What options and 
challenges you see?""";"""Een verkoopteam is nieuwsgierig 
op het gebied van duurzaamheid, maar 
ze weten niet hoe ze dat kunnen 
Gebruik het. Bespreek vanuit eigen ervaring, 
Welke opties en 
Uitdagingen zie je?""";NVT;20 points;20 points;20 punten;Moderator
Megatrends;35;"""Flere sælgere oplever, at kunderne spørger om virksomheden arbejder med FN´s Verdensmål. 
Bør salgschefen gøre noget på kort eller langt sigt?""";"""Several salespeople experience that customers ask if the company works with the UN's Sustainable Development Goals. 
Should the sales manager do something in the short or long term?""";"""Verschillende verkopers ervaren dat klanten vragen of het bedrijf werkt met de Sustainable Development Goals van de VN. 
Moet de salesmanager iets doen op korte of lange termijn?""";NVT;20 points;20 points;20 punten;Moderator
Megatrends;36;"""En kunde spørger om, de må leje et af 
virksomhedens populære produkter. Hvad skal 
virksomheden overveje, 
hvis de går leasing- eller abonnementsvejen?""";"""A customer asks if they can rent one of 
the company's popular products. What should 
The company consider, 
If they go the leasing or subscription route?""";"""Een klant vraagt of hij een van de 
de populaire producten van het bedrijf kan huren in plaats van kopen. Wat zouden de overwegingen van het bedrijf moeten zijn? Gaan ze voor leasing of abonnement?""";NVT;10 points;10 points;10 punten;Moderator
Chance;37;"""Hvad har været den sjoveste oplevelse med en kunde i dit 
nuværende job?""";"""What has been the most fun experience with a customer in your 
current job?""";"""Wat was de leukste ervaring met een klant in uw 
huidige baan?""";NVT;5 points;5 points;5 punten;Moderator
Chance;38;"""Et salgsteam får ingen nyttig kundeinfo fra virksomhedens 
serviceteknikere. 
Drøft hvad salgschefen kan gøre? """;"""A sales team gets no useful customer info from the company's 
Technicians. 
Discuss what the sales manager can do?""";"""Een verkoopteam krijgt geen nuttige klantinformatie van de 
Technici. 
Bespreek wat de salesmanager kan doen?""";NVT;10 points;10 points;10 punten;Moderator
Chance;39;Hvad er det første, du tænker på, når du vågner? ;What's the first thing you think of when you wake up?;Wat is het eerste waar je aan denkt als je wakker wordt?;NVT;5 points;5 points;5 punten;Moderator
